handle,hour,count
EuromaidanPress@mastodon.social,16,13
EuromaidanPress@mastodon.social,17,19
EuromaidanPress@mastodon.social,18,10
EuromaidanPress@mastodon.social,19,20
EuromaidanPress@mastodon.social,20,15
EuromaidanPress@mastodon.social,21,5
EuromaidanPress@mastodon.social,22,8
EuromaidanPress@mastodon.social,23,10
Faskil@mastodon.social,0,0
Faskil@mastodon.social,1,0
Faskil@mastodon.social,2,0
Faskil@mastodon.social,3,0
Faskil@mastodon.social,4,0
Faskil@mastodon.social,5,0
Faskil@mastodon.social,6,0
Faskil@mastodon.social,7,0
Faskil@mastodon.social,8,1
Faskil@mastodon.social,9,4
Faskil@mastodon.social,10,1
Faskil@mastodon.social,11,7
Faskil@mastodon.social,12,2
Faskil@mastodon.social,13,1
Faskil@mastodon.social,14,0
Faskil@mastodon.social,15,1
Faskil@mastodon.social,16,3
Faskil@mastodon.social,17,3
Faskil@mastodon.social,18,0
Faskil@mastodon.social,19,0
Faskil@mastodon.social,20,1
Faskil@mastodon.social,21,0
Faskil@mastodon.social,22,0
Faskil@mastodon.social,23,0
Gargron@mastodon.social,0,1
Gargron@mastodon.social,1,0
Gargron@mastodon.social,2,0
Gargron@mastodon.social,3,0
Gargron@mastodon.social,4,0
Gargron@mastodon.social,5,0
Gargron@mastodon.social,6,0
Gargron@mastodon.social,7,0
Gargron@mastodon.social,8,0
Gargron@mastodon.social,9,0
Gargron@mastodon.social,10,2
Gargron@mastodon.social,11,1
Gargron@mastodon.social,12,1
Gargron@mastodon.social,13,0
Gargron@mastodon.social,14,4
Gargron@mastodon.social,15,0
Gargron@mastodon.social,16,1
Gargron@mastodon.social,17,8
Gargron@mastodon.social,18,5
Gargron@mastodon.social,19,9
Gargron@mastodon.social,20,4
Gargron@mastodon.social,21,0
Gargron@mastodon.social,22,0
Gargron@mastodon.social,23,5
Gleisplan@mastodon.social,0,0
Gleisplan@mastodon.social,1,0
Gleisplan@mastodon.social,2,3
Gleisplan@mastodon.social,3,3
Gleisplan@mastodon.social,4,9
Gleisplan@mastodon.social,5,3
Gleisplan@mastodon.social,6,4
Gleisplan@mastodon.social,7,0
Gleisplan@mastodon.social,8,2
Gleisplan@mastodon.social,9,1
Gleisplan@mastodon.social,10,0
Gleisplan@mastodon.social,11,2
Gleisplan@mastodon.social,12,3
Gleisplan@mastodon.social,13,5
Gleisplan@mastodon.social,14,7
Gleisplan@mastodon.social,15,9
Gleisplan@mastodon.social,16,2
Gleisplan@mastodon.social,17,13
Gleisplan@mastodon.social,18,5
Gleisplan@mastodon.social,19,2
Gleisplan@mastodon.social,20,0
Gleisplan@mastodon.social,21,0
Gleisplan@mastodon.social,22,0
Gleisplan@mastodon.social,23,0
NRKno_bot@mastodon.social,0,0
NRKno_bot@mastodon.social,1,3
NRKno_bot@mastodon.social,2,2
NRKno_bot@mastodon.social,3,9
NRKno_bot@mastodon.social,4,11
NRKno_bot@mastodon.social,5,17
NRKno_bot@mastodon.social,6,9
NRKno_bot@mastodon.social,7,9
NRKno_bot@mastodon.social,8,11
NRKno_bot@mastodon.social,9,18
NRKno_bot@mastodon.social,10,18
NRKno_bot@mastodon.social,11,9
NRKno_bot@mastodon.social,12,11
NRKno_bot@mastodon.social,13,12
NRKno_bot@mastodon.social,14,14
NRKno_bot@mastodon.social,15,17
NRKno_bot@mastodon.social,16,14
NRKno_bot@mastodon.social,17,12
NRKno_bot@mastodon.social,18,19
NRKno_bot@mastodon.social,19,22
NRKno_bot@mastodon.social,20,18
NRKno_bot@mastodon.social,21,4
NRKno_bot@mastodon.social,22,1
NRKno_bot@mastodon.social,23,0
ReneDamkot@mastodon.social,0,0
ReneDamkot@mastodon.social,1,0
ReneDamkot@mastodon.social,2,0
ReneDamkot@mastodon.social,3,0
ReneDamkot@mastodon.social,4,0
ReneDamkot@mastodon.social,5,0
ReneDamkot@mastodon.social,6,21
ReneDamkot@mastodon.social,7,34
ReneDamkot@mastodon.social,8,54
ReneDamkot@mastodon.social,9,32
ReneDamkot@mastodon.social,10,50
ReneDamkot@mastodon.social,11,40
ReneDamkot@mastodon.social,12,21
ReneDamkot@mastodon.social,13,12
ReneDamkot@mastodon.social,14,20
ReneDamkot@mastodon.social,15,16
ReneDamkot@mastodon.social,16,16
ReneDamkot@mastodon.social,17,21
ReneDamkot@mastodon.social,18,23
ReneDamkot@mastodon.social,19,10
ReneDamkot@mastodon.social,20,5
ReneDamkot@mastodon.social,21,7
ReneDamkot@mastodon.social,22,0
ReneDamkot@mastodon.social,23,1
SKleefeld@mastodon.social,0,8
SKleefeld@mastodon.social,1,9
SKleefeld@mastodon.social,2,16
SKleefeld@mastodon.social,3,1
SKleefeld@mastodon.social,4,0
SKleefeld@mastodon.social,5,0
SKleefeld@mastodon.social,6,0
SKleefeld@mastodon.social,7,0
SKleefeld@mastodon.social,8,0
SKleefeld@mastodon.social,9,5
SKleefeld@mastodon.social,10,6
SKleefeld@mastodon.social,11,6
SKleefeld@mastodon.social,12,18
SKleefeld@mastodon.social,13,13
SKleefeld@mastodon.social,14,12
SKleefeld@mastodon.social,15,17
SKleefeld@mastodon.social,16,17
SKleefeld@mastodon.social,17,9
SKleefeld@mastodon.social,18,14
SKleefeld@mastodon.social,19,6
SKleefeld@mastodon.social,20,3
SKleefeld@mastodon.social,21,13
SKleefeld@mastodon.social,22,6
SKleefeld@mastodon.social,23,5
WinFuture@mastodon.social,0,0
WinFuture@mastodon.social,1,0
WinFuture@mastodon.social,2,0
WinFuture@mastodon.social,3,0
WinFuture@mastodon.social,4,0
WinFuture@mastodon.social,5,5
WinFuture@mastodon.social,6,15
WinFuture@mastodon.social,7,13
WinFuture@mastodon.social,8,20
WinFuture@mastodon.social,9,17
WinFuture@mastodon.social,10,18
WinFuture@mastodon.social,11,16
WinFuture@mastodon.social,12,18
WinFuture@mastodon.social,13,19
WinFuture@mastodon.social,14,17
WinFuture@mastodon.social,15,16
WinFuture@mastodon.social,16,9
WinFuture@mastodon.social,17,6
WinFuture@mastodon.social,18,4
WinFuture@mastodon.social,19,6
WinFuture@mastodon.social,20,0
WinFuture@mastodon.social,21,0
WinFuture@mastodon.social,22,0
WinFuture@mastodon.social,23,0
aiefel@mastodon.social,0,1
aiefel@mastodon.social,1,0
aiefel@mastodon.social,2,0
aiefel@mastodon.social,3,0
aiefel@mastodon.social,4,0
aiefel@mastodon.social,5,0
aiefel@mastodon.social,6,0
aiefel@mastodon.social,7,0
aiefel@mastodon.social,8,1
aiefel@mastodon.social,9,3
aiefel@mastodon.social,10,1
aiefel@mastodon.social,11,2
aiefel@mastodon.social,12,1
aiefel@mastodon.social,13,1
aiefel@mastodon.social,14,1
aiefel@mastodon.social,15,1
aiefel@mastodon.social,16,1
aiefel@mastodon.social,17,1
aiefel@mastodon.social,18,0
aiefel@mastodon.social,19,3
aiefel@mastodon.social,20,1
aiefel@mastodon.social,21,1
aiefel@mastodon.social,22,0
aiefel@mastodon.social,23,1
aslakr@mastodon.social,0,1
aslakr@mastodon.social,1,0
aslakr@mastodon.social,2,4
aslakr@mastodon.social,3,0
aslakr@mastodon.social,4,4
aslakr@mastodon.social,5,17
aslakr@mastodon.social,6,31
aslakr@mastodon.social,7,38
aslakr@mastodon.social,8,26
aslakr@mastodon.social,9,29
aslakr@mastodon.social,10,18
aslakr@mastodon.social,11,15
aslakr@mastodon.social,12,19
aslakr@mastodon.social,13,22
aslakr@mastodon.social,14,27
aslakr@mastodon.social,15,20
aslakr@mastodon.social,16,27
aslakr@mastodon.social,17,41
aslakr@mastodon.social,18,23
aslakr@mastodon.social,19,28
aslakr@mastodon.social,20,14
aslakr@mastodon.social,21,12
aslakr@mastodon.social,22,0
aslakr@mastodon.social,23,8
axios@mastodon.social,0,5
axios@mastodon.social,1,3
axios@mastodon.social,2,4
axios@mastodon.social,3,2
axios@mastodon.social,4,5
axios@mastodon.social,5,1
axios@mastodon.social,6,1
axios@mastodon.social,7,0
axios@mastodon.social,8,2
axios@mastodon.social,9,20
axios@mastodon.social,10,20
axios@mastodon.social,11,21
axios@mastodon.social,12,17
axios@mastodon.social,13,26
axios@mastodon.social,14,21
axios@mastodon.social,15,30
axios@mastodon.social,16,33
axios@mastodon.social,17,13
axios@mastodon.social,18,19
axios@mastodon.social,19,12
axios@mastodon.social,20,15
axios@mastodon.social,21,14
axios@mastodon.social,22,8
axios@mastodon.social,23,13
dagensetc@mastodon.social,0,0
dagensetc@mastodon.social,1,0
dagensetc@mastodon.social,2,0
dagensetc@mastodon.social,3,0
dagensetc@mastodon.social,4,5
dagensetc@mastodon.social,5,2
dagensetc@mastodon.social,6,11
dagensetc@mastodon.social,7,2
dagensetc@mastodon.social,8,8
dagensetc@mastodon.social,9,7
dagensetc@mastodon.social,10,14
dagensetc@mastodon.social,11,7
dagensetc@mastodon.social,12,8
dagensetc@mastodon.social,13,8
dagensetc@mastodon.social,14,9
dagensetc@mastodon.social,15,6
dagensetc@mastodon.social,16,8
dagensetc@mastodon.social,17,0
dagensetc@mastodon.social,18,3
dagensetc@mastodon.social,19,0
dagensetc@mastodon.social,20,0
dagensetc@mastodon.social,21,0
dagensetc@mastodon.social,22,0
dagensetc@mastodon.social,23,0
danimo@mastodon.social,0,3
danimo@mastodon.social,1,0
danimo@mastodon.social,2,0
danimo@mastodon.social,3,0
danimo@mastodon.social,4,0
danimo@mastodon.social,5,0
danimo@mastodon.social,6,3
danimo@mastodon.social,7,2
danimo@mastodon.social,8,5
danimo@mastodon.social,9,9
danimo@mastodon.social,10,3
danimo@mastodon.social,11,9
danimo@mastodon.social,12,3
danimo@mastodon.social,13,1
danimo@mastodon.social,14,4
danimo@mastodon.social,15,3
danimo@mastodon.social,16,1
danimo@mastodon.social,17,5
danimo@mastodon.social,18,2
danimo@mastodon.social,19,1
danimo@mastodon.social,20,1
danimo@mastodon.social,21,1
danimo@mastodon.social,22,4
danimo@mastodon.social,23,3
deadline@mastodon.social,0,14
deadline@mastodon.social,1,8
deadline@mastodon.social,2,6
deadline@mastodon.social,3,13
deadline@mastodon.social,4,5
deadline@mastodon.social,5,0
deadline@mastodon.social,6,0
deadline@mastodon.social,7,6
deadline@mastodon.social,8,8
deadline@mastodon.social,9,12
deadline@mastodon.social,10,10
deadline@mastodon.social,11,8
deadline@mastodon.social,12,13
deadline@mastodon.social,13,24
deadline@mastodon.social,14,29
deadline@mastodon.social,15,43
deadline@mastodon.social,16,43
deadline@mastodon.social,17,36
deadline@mastodon.social,18,37
deadline@mastodon.social,19,18
deadline@mastodon.social,20,30
deadline@mastodon.social,21,20
deadline@mastodon.social,22,19
deadline@mastodon.social,23,10
egonw@mastodon.social,0,0
egonw@mastodon.social,1,0
egonw@mastodon.social,2,0
egonw@mastodon.social,3,0
egonw@mastodon.social,4,1
egonw@mastodon.social,5,1
egonw@mastodon.social,6,5
egonw@mastodon.social,7,3
egonw@mastodon.social,8,5
egonw@mastodon.social,9,13
egonw@mastodon.social,10,11
egonw@mastodon.social,11,6
egonw@mastodon.social,12,5
egonw@mastodon.social,13,6
egonw@mastodon.social,14,5
egonw@mastodon.social,15,2
egonw@mastodon.social,16,1
egonw@mastodon.social,17,2
egonw@mastodon.social,18,2
egonw@mastodon.social,19,5
egonw@mastodon.social,20,2
egonw@mastodon.social,21,3
egonw@mastodon.social,22,0
egonw@mastodon.social,23,0
friends@mastodon.social,0,0
friends@mastodon.social,1,0
friends@mastodon.social,2,7
friends@mastodon.social,3,5
friends@mastodon.social,4,2
friends@mastodon.social,5,0
friends@mastodon.social,6,7
friends@mastodon.social,7,0
friends@mastodon.social,8,0
friends@mastodon.social,9,7
friends@mastodon.social,10,0
friends@mastodon.social,11,0
friends@mastodon.social,12,6
friends@mastodon.social,13,1
friends@mastodon.social,14,0
friends@mastodon.social,15,7
friends@mastodon.social,16,0
friends@mastodon.social,17,0
friends@mastodon.social,18,7
friends@mastodon.social,19,0
friends@mastodon.social,20,0
friends@mastodon.social,21,7
friends@mastodon.social,22,0
friends@mastodon.social,23,0
geonews@mastodon.social,0,0
geonews@mastodon.social,1,0
geonews@mastodon.social,2,0
geonews@mastodon.social,3,0
geonews@mastodon.social,4,0
geonews@mastodon.social,5,0
geonews@mastodon.social,6,0
geonews@mastodon.social,7,3
geonews@mastodon.social,8,8
geonews@mastodon.social,9,8
geonews@mastodon.social,10,11
geonews@mastodon.social,11,11
geonews@mastodon.social,12,10
geonews@mastodon.social,13,9
geonews@mastodon.social,14,7
geonews@mastodon.social,15,8
geonews@mastodon.social,16,3
geonews@mastodon.social,17,0
geonews@mastodon.social,18,0
geonews@mastodon.social,19,2
geonews@mastodon.social,20,0
geonews@mastodon.social,21,0
geonews@mastodon.social,22,0
geonews@mastodon.social,23,0
ianRobinson@mastodon.social,0,3
ianRobinson@mastodon.social,1,0
ianRobinson@mastodon.social,2,0
ianRobinson@mastodon.social,3,1
ianRobinson@mastodon.social,4,0
ianRobinson@mastodon.social,5,0
ianRobinson@mastodon.social,6,2
ianRobinson@mastodon.social,7,4
ianRobinson@mastodon.social,8,6
ianRobinson@mastodon.social,9,19
ianRobinson@mastodon.social,10,12
ianRobinson@mastodon.social,11,13
ianRobinson@mastodon.social,12,15
ianRobinson@mastodon.social,13,20
ianRobinson@mastodon.social,14,8
ianRobinson@mastodon.social,15,20
ianRobinson@mastodon.social,16,8
ianRobinson@mastodon.social,17,4
ianRobinson@mastodon.social,18,10
ianRobinson@mastodon.social,19,13
ianRobinson@mastodon.social,20,22
ianRobinson@mastodon.social,21,20
ianRobinson@mastodon.social,22,28
ianRobinson@mastodon.social,23,12
jockr@mastodon.social,0,6
jockr@mastodon.social,1,3
jockr@mastodon.social,2,0
jockr@mastodon.social,3,0
jockr@mastodon.social,4,0
jockr@mastodon.social,5,0
jockr@mastodon.social,6,0
jockr@mastodon.social,7,0
jockr@mastodon.social,8,1
jockr@mastodon.social,9,34
jockr@mastodon.social,10,25
jockr@mastodon.social,11,6
jockr@mastodon.social,12,3
jockr@mastodon.social,13,4
jockr@mastodon.social,14,3
jockr@mastodon.social,15,11
jockr@mastodon.social,16,8
jockr@mastodon.social,17,3
jockr@mastodon.social,18,6
jockr@mastodon.social,19,0
jockr@mastodon.social,20,18
jockr@mastodon.social,21,7
jockr@mastodon.social,22,29
jockr@mastodon.social,23,11
juuhaa@mastodon.social,0,0
juuhaa@mastodon.social,1,0
juuhaa@mastodon.social,2,0
juuhaa@mastodon.social,3,17
juuhaa@mastodon.social,4,54
juuhaa@mastodon.social,5,104
juuhaa@mastodon.social,6,72
juuhaa@mastodon.social,7,39
juuhaa@mastodon.social,8,9
juuhaa@mastodon.social,9,42
juuhaa@mastodon.social,10,9
juuhaa@mastodon.social,11,31
juuhaa@mastodon.social,12,3
juuhaa@mastodon.social,13,12
juuhaa@mastodon.social,14,18
juuhaa@mastodon.social,15,23
juuhaa@mastodon.social,16,9
juuhaa@mastodon.social,17,21
juuhaa@mastodon.social,18,0
juuhaa@mastodon.social,19,0
juuhaa@mastodon.social,20,0
juuhaa@mastodon.social,21,0
juuhaa@mastodon.social,22,0
juuhaa@mastodon.social,23,0
knuppelbeer@mastodon.social,0,2
knuppelbeer@mastodon.social,1,0
knuppelbeer@mastodon.social,2,0
knuppelbeer@mastodon.social,3,0
knuppelbeer@mastodon.social,4,0
knuppelbeer@mastodon.social,5,8
knuppelbeer@mastodon.social,6,2
knuppelbeer@mastodon.social,7,7
knuppelbeer@mastodon.social,8,11
knuppelbeer@mastodon.social,9,8
knuppelbeer@mastodon.social,10,4
knuppelbeer@mastodon.social,11,1
knuppelbeer@mastodon.social,12,7
knuppelbeer@mastodon.social,13,14
knuppelbeer@mastodon.social,14,12
knuppelbeer@mastodon.social,15,6
knuppelbeer@mastodon.social,16,2
knuppelbeer@mastodon.social,17,1
knuppelbeer@mastodon.social,18,3
knuppelbeer@mastodon.social,19,2
knuppelbeer@mastodon.social,20,6
knuppelbeer@mastodon.social,21,4
knuppelbeer@mastodon.social,22,1
knuppelbeer@mastodon.social,23,1
lemonde@mastodon.social,0,6
lemonde@mastodon.social,1,5
lemonde@mastodon.social,2,5
lemonde@mastodon.social,3,13
lemonde@mastodon.social,4,10
lemonde@mastodon.social,5,7
lemonde@mastodon.social,6,6
lemonde@mastodon.social,7,14
lemonde@mastodon.social,8,16
lemonde@mastodon.social,9,16
lemonde@mastodon.social,10,14
lemonde@mastodon.social,11,18
lemonde@mastodon.social,12,15
lemonde@mastodon.social,13,16
lemonde@mastodon.social,14,17
lemonde@mastodon.social,15,19
lemonde@mastodon.social,16,21
lemonde@mastodon.social,17,20
lemonde@mastodon.social,18,19
lemonde@mastodon.social,19,11
lemonde@mastodon.social,20,5
lemonde@mastodon.social,21,5
lemonde@mastodon.social,22,7
lemonde@mastodon.social,23,4
levelbot@mastodon.social,0,41
levelbot@mastodon.social,1,43
levelbot@mastodon.social,2,40
levelbot@mastodon.social,3,42
levelbot@mastodon.social,4,39
levelbot@mastodon.social,5,41
levelbot@mastodon.social,6,40
levelbot@mastodon.social,7,43
levelbot@mastodon.social,8,42
levelbot@mastodon.social,9,42
levelbot@mastodon.social,10,42
levelbot@mastodon.social,11,41
levelbot@mastodon.social,12,42
levelbot@mastodon.social,13,42
levelbot@mastodon.social,14,39
levelbot@mastodon.social,15,42
levelbot@mastodon.social,16,40
levelbot@mastodon.social,17,43
levelbot@mastodon.social,18,40
levelbot@mastodon.social,19,42
levelbot@mastodon.social,20,42
levelbot@mastodon.social,21,41
levelbot@mastodon.social,22,42
levelbot@mastodon.social,23,42
lffontenelle@mastodon.social,0,15
lffontenelle@mastodon.social,1,11
lffontenelle@mastodon.social,2,7
lffontenelle@mastodon.social,3,0
lffontenelle@mastodon.social,4,0
lffontenelle@mastodon.social,5,0
lffontenelle@mastodon.social,6,0
lffontenelle@mastodon.social,7,0
lffontenelle@mastodon.social,8,1
lffontenelle@mastodon.social,9,4
lffontenelle@mastodon.social,10,12
lffontenelle@mastodon.social,11,16
lffontenelle@mastodon.social,12,8
lffontenelle@mastodon.social,13,22
lffontenelle@mastodon.social,14,14
lffontenelle@mastodon.social,15,15
lffontenelle@mastodon.social,16,17
lffontenelle@mastodon.social,17,11
lffontenelle@mastodon.social,18,6
lffontenelle@mastodon.social,19,5
lffontenelle@mastodon.social,20,12
lffontenelle@mastodon.social,21,13
lffontenelle@mastodon.social,22,10
lffontenelle@mastodon.social,23,20
livelakemichigan@mastodon.social,0,14
livelakemichigan@mastodon.social,1,14
livelakemichigan@mastodon.social,2,14
livelakemichigan@mastodon.social,3,14
livelakemichigan@mastodon.social,4,14
livelakemichigan@mastodon.social,5,14
livelakemichigan@mastodon.social,6,14
livelakemichigan@mastodon.social,7,14
livelakemichigan@mastodon.social,8,14
livelakemichigan@mastodon.social,9,14
livelakemichigan@mastodon.social,10,14
livelakemichigan@mastodon.social,11,14
livelakemichigan@mastodon.social,12,14
livelakemichigan@mastodon.social,13,14
livelakemichigan@mastodon.social,14,14
livelakemichigan@mastodon.social,15,14
livelakemichigan@mastodon.social,16,14
livelakemichigan@mastodon.social,17,14
livelakemichigan@mastodon.social,18,14
livelakemichigan@mastodon.social,19,14
livelakemichigan@mastodon.social,20,14
livelakemichigan@mastodon.social,21,14
livelakemichigan@mastodon.social,22,14
livelakemichigan@mastodon.social,23,14
masterhajoda@mastodon.social,0,1
masterhajoda@mastodon.social,1,0
masterhajoda@mastodon.social,2,0
masterhajoda@mastodon.social,3,0
masterhajoda@mastodon.social,4,0
masterhajoda@mastodon.social,5,0
masterhajoda@mastodon.social,6,0
masterhajoda@mastodon.social,7,0
masterhajoda@mastodon.social,8,12
masterhajoda@mastodon.social,9,11
masterhajoda@mastodon.social,10,14
masterhajoda@mastodon.social,11,12
masterhajoda@mastodon.social,12,11
masterhajoda@mastodon.social,13,15
masterhajoda@mastodon.social,14,13
masterhajoda@mastodon.social,15,16
masterhajoda@mastodon.social,16,19
masterhajoda@mastodon.social,17,7
masterhajoda@mastodon.social,18,11
masterhajoda@mastodon.social,19,18
masterhajoda@mastodon.social,20,5
masterhajoda@mastodon.social,21,4
masterhajoda@mastodon.social,22,9
masterhajoda@mastodon.social,23,1
onthisday@mastodon.social,0,0
onthisday@mastodon.social,1,0
onthisday@mastodon.social,2,0
onthisday@mastodon.social,3,0
onthisday@mastodon.social,4,0
onthisday@mastodon.social,5,56
onthisday@mastodon.social,6,53
onthisday@mastodon.social,7,55
onthisday@mastodon.social,8,54
onthisday@mastodon.social,9,54
onthisday@mastodon.social,10,55
onthisday@mastodon.social,11,54
onthisday@mastodon.social,12,53
onthisday@mastodon.social,13,56
onthisday@mastodon.social,14,54
onthisday@mastodon.social,15,55
onthisday@mastodon.social,16,54
onthisday@mastodon.social,17,55
onthisday@mastodon.social,18,54
onthisday@mastodon.social,19,54
onthisday@mastodon.social,20,54
onthisday@mastodon.social,21,13
onthisday@mastodon.social,22,0
onthisday@mastodon.social,23,0
queerde@mastodon.social,0,0
queerde@mastodon.social,1,0
queerde@mastodon.social,2,0
queerde@mastodon.social,3,0
queerde@mastodon.social,4,0
queerde@mastodon.social,5,5
queerde@mastodon.social,6,5
queerde@mastodon.social,7,6
queerde@mastodon.social,8,11
queerde@mastodon.social,9,9
queerde@mastodon.social,10,10
queerde@mastodon.social,11,9
queerde@mastodon.social,12,7
queerde@mastodon.social,13,6
queerde@mastodon.social,14,8
queerde@mastodon.social,15,3
queerde@mastodon.social,16,0
queerde@mastodon.social,17,1
queerde@mastodon.social,18,1
queerde@mastodon.social,19,0
queerde@mastodon.social,20,0
queerde@mastodon.social,21,0
queerde@mastodon.social,22,0
queerde@mastodon.social,23,0
realTuckFrumper@mastodon.social,0,138
realTuckFrumper@mastodon.social,1,158
realTuckFrumper@mastodon.social,2,98
realTuckFrumper@mastodon.social,3,58
realTuckFrumper@mastodon.social,4,46
realTuckFrumper@mastodon.social,5,22
realTuckFrumper@mastodon.social,6,19
realTuckFrumper@mastodon.social,7,53
realTuckFrumper@mastodon.social,8,64
realTuckFrumper@mastodon.social,9,155
realTuckFrumper@mastodon.social,10,179
realTuckFrumper@mastodon.social,11,247
realTuckFrumper@mastodon.social,12,226
realTuckFrumper@mastodon.social,13,343
realTuckFrumper@mastodon.social,14,333
realTuckFrumper@mastodon.social,15,380
realTuckFrumper@mastodon.social,16,360
realTuckFrumper@mastodon.social,17,328
realTuckFrumper@mastodon.social,18,302
realTuckFrumper@mastodon.social,19,233
realTuckFrumper@mastodon.social,20,243
realTuckFrumper@mastodon.social,21,249
realTuckFrumper@mastodon.social,22,223
realTuckFrumper@mastodon.social,23,192
rtlnieuws@mastodon.social,0,4
rtlnieuws@mastodon.social,1,4
rtlnieuws@mastodon.social,2,11
rtlnieuws@mastodon.social,3,5
rtlnieuws@mastodon.social,4,10
rtlnieuws@mastodon.social,5,18
rtlnieuws@mastodon.social,6,20
rtlnieuws@mastodon.social,7,25
rtlnieuws@mastodon.social,8,27
rtlnieuws@mastodon.social,9,34
rtlnieuws@mastodon.social,10,30
rtlnieuws@mastodon.social,11,29
rtlnieuws@mastodon.social,12,34
rtlnieuws@mastodon.social,13,36
rtlnieuws@mastodon.social,14,38
rtlnieuws@mastodon.social,15,31
rtlnieuws@mastodon.social,16,20
rtlnieuws@mastodon.social,17,21
rtlnieuws@mastodon.social,18,24
rtlnieuws@mastodon.social,19,21
rtlnieuws@mastodon.social,20,29
rtlnieuws@mastodon.social,21,9
rtlnieuws@mastodon.social,22,5
rtlnieuws@mastodon.social,23,12
rvps2001@mastodon.social,0,0
rvps2001@mastodon.social,1,0
rvps2001@mastodon.social,2,0
rvps2001@mastodon.social,3,0
rvps2001@mastodon.social,4,6
rvps2001@mastodon.social,5,25
rvps2001@mastodon.social,6,12
rvps2001@mastodon.social,7,4
rvps2001@mastodon.social,8,7
rvps2001@mastodon.social,9,1
rvps2001@mastodon.social,10,5
rvps2001@mastodon.social,11,13
rvps2001@mastodon.social,12,17
rvps2001@mastodon.social,13,8
rvps2001@mastodon.social,14,27
rvps2001@mastodon.social,15,7
rvps2001@mastodon.social,16,9
rvps2001@mastodon.social,17,14
rvps2001@mastodon.social,18,4
rvps2001@mastodon.social,19,11
rvps2001@mastodon.social,20,2
rvps2001@mastodon.social,21,1
rvps2001@mastodon.social,22,0
rvps2001@mastodon.social,23,0
sally@mastodon.social,0,0
sally@mastodon.social,1,0
sally@mastodon.social,2,0
sally@mastodon.social,3,0
sally@mastodon.social,4,0
sally@mastodon.social,5,0
sally@mastodon.social,6,0
sally@mastodon.social,7,0
sally@mastodon.social,8,0
sally@mastodon.social,9,2
sally@mastodon.social,10,0
sally@mastodon.social,11,0
sally@mastodon.social,12,0
sally@mastodon.social,13,1
sally@mastodon.social,14,0
sally@mastodon.social,15,1
sally@mastodon.social,16,0
sally@mastodon.social,17,0
sally@mastodon.social,18,0
sally@mastodon.social,19,0
sally@mastodon.social,20,0
sally@mastodon.social,21,0
sally@mastodon.social,22,0
sally@mastodon.social,23,0
simple_sabotage@mastodon.social,0,7
simple_sabotage@mastodon.social,1,0
simple_sabotage@mastodon.social,2,0
simple_sabotage@mastodon.social,3,7
simple_sabotage@mastodon.social,4,0
simple_sabotage@mastodon.social,5,0
simple_sabotage@mastodon.social,6,7
simple_sabotage@mastodon.social,7,0
simple_sabotage@mastodon.social,8,0
simple_sabotage@mastodon.social,9,7
simple_sabotage@mastodon.social,10,0
simple_sabotage@mastodon.social,11,0
simple_sabotage@mastodon.social,12,7
simple_sabotage@mastodon.social,13,0
